,Date,Emissions,Energy,Intensity,Region
0,2001-01-01,389180.7009,361857.4552,1.0755,NEM
1,2001-01-01,124475.8867,125439.86,0.9923,NSW1
2,2001-01-01,83243.369,90154.02836,0.9233,QLD1
3,2001-01-01,20327.5986,25340.81391,0.8022,SA1
4,2001-01-01,,,,SNOWY1
5,2001-01-01,,,,TAS1
6,2001-01-01,161133.8466,120922.7529,1.3325,VIC1
7,2001-01-02,481987.0282,458017.3289,1.0523,NEM
8,2001-01-02,166031.311,166952.019,0.9945,NSW1
9,2001-01-02,107382.0394,115056.4413,0.9333,QLD1
10,2001-01-02,32457.17949,40735.44073,0.7968,SA1
11,2001-01-02,,,,SNOWY1
12,2001-01-02,,,,TAS1
13,2001-01-02,176116.4983,135273.4278,1.3019,VIC1
14,2001-01-03,473379.5613,448527.2328,1.0554,NEM
15,2001-01-03,171082.9539,170805.2169,1.0016,NSW1
16,2001-01-03,106991.9218,115077.6678,0.9297,QLD1
17,2001-01-03,24458.95225,31164.08505,0.7848,SA1
18,2001-01-03,,,,SNOWY1
19,2001-01-03,,,,TAS1
20,2001-01-03,170845.7334,131480.2631,1.2994,VIC1
21,2001-01-04,402047.3822,373170.7776,1.0774,NEM
22,2001-01-04,134934.3578,132478.5526,1.0185,NSW1
23,2001-01-04,94742.32404,103531.9125,0.9151,QLD1
24,2001-01-04,15050.59425,20234.12257,0.7438,SA1
25,2001-01-04,,,,SNOWY1
26,2001-01-04,,,,TAS1
27,2001-01-04,157320.1061,116926.19,1.3455,VIC1
28,2001-01-05,445125.2516,421538.2081,1.056,NEM
29,2001-01-05,166345.2253,165103.1568,1.0075,NSW1
30,2001-01-05,107847.0714,115849.842,0.9309,QLD1
31,2001-01-05,21753.93463,27239.39475,0.7986,SA1
32,2001-01-05,,,,SNOWY1
33,2001-01-05,,,,TAS1
34,2001-01-05,149179.0203,113345.8146,1.3161,VIC1
35,2001-01-06,475820.5489,450810.7872,1.0555,NEM
36,2001-01-06,178099.9595,176721.4202,1.0078,NSW1
37,2001-01-06,105103.1987,111766.7719,0.9404,QLD1
38,2001-01-06,25003.92434,32761.39981,0.7632,SA1
39,2001-01-06,,,,SNOWY1
40,2001-01-06,,,,TAS1
41,2001-01-06,167613.4664,129561.1953,1.2937,VIC1
42,2001-01-07,444375.086,415797.5801,1.0687,NEM
43,2001-01-07,169319.7696,167501.4687,1.0109,NSW1
44,2001-01-07,92410.68096,99364.74861,0.93,QLD1
45,2001-01-07,21456.64643,26761.56691,0.8018,SA1
46,2001-01-07,,,,SNOWY1
47,2001-01-07,,,,TAS1
48,2001-01-07,161187.9891,122169.796,1.3194,VIC1
49,2001-01-08,484934.2364,473173.3406,1.0249,NEM
50,2001-01-08,174561.7954,173742.9807,1.0047,NSW1
51,2001-01-08,113268.8429,121663.9062,0.931,QLD1
52,2001-01-08,24975.80733,31620.76552,0.7899,SA1
53,2001-01-08,0.0,13916.055,0.0,SNOWY1
54,2001-01-08,,,,TAS1
55,2001-01-08,172127.7907,132229.6332,1.3017,VIC1
56,2001-01-09,449584.9559,427200.1004,1.0524,NEM
57,2001-01-09,151960.5392,151485.1999,1.0031,NSW1
58,2001-01-09,106135.3789,113956.9703,0.9314,QLD1
59,2001-01-09,24527.01205,30873.02197,0.7944,SA1
60,2001-01-09,0.0,3515.2853,0.0,SNOWY1
61,2001-01-09,,,,TAS1
62,2001-01-09,166962.0258,127369.6229,1.3108,VIC1
63,2001-01-10,412006.1918,400747.3581,1.0281,NEM
64,2001-01-10,144369.8403,144535.5762,0.9989,NSW1
65,2001-01-10,109791.1459,118111.6615,0.9296,QLD1
66,2001-01-10,21046.14367,27800.64904,0.757,SA1
67,2001-01-10,0.0,6056.66509,0.0,SNOWY1
68,2001-01-10,,,,TAS1
69,2001-01-10,136799.062,104242.8063,1.3123,VIC1
70,2001-01-11,450384.1323,447622.1993,1.0062,NEM
71,2001-01-11,157944.3982,159437.1086,0.9906,NSW1
72,2001-01-11,119031.7193,127148.4356,0.9362,QLD1
73,2001-01-11,21224.83543,28661.98254,0.7405,SA1
74,2001-01-11,0.0,13075.46925,0.0,SNOWY1
75,2001-01-11,,,,TAS1
76,2001-01-11,152183.1793,119299.2033,1.2756,VIC1
77,2001-01-12,433355.6851,407271.959,1.064,NEM
78,2001-01-12,143568.8357,143832.07,0.9982,NSW1
79,2001-01-12,104704.6213,112685.4872,0.9292,QLD1
80,2001-01-12,17541.89302,22019.19926,0.7967,SA1
81,2001-01-12,0.0,71.67071,0.0,SNOWY1
82,2001-01-12,,,,TAS1
83,2001-01-12,167540.3351,128663.5318,1.3022,VIC1
84,2001-01-13,446913.2391,422065.1097,1.0589,NEM
85,2001-01-13,157378.9924,157841.4813,0.9971,NSW1
86,2001-01-13,95301.21929,103129.1842,0.9241,QLD1
87,2001-01-13,27795.06053,34345.92082,0.8093,SA1
88,2001-01-13,,,,SNOWY1
89,2001-01-13,,,,TAS1
90,2001-01-13,166437.9669,126748.5234,1.3131,VIC1
91,2001-01-14,442159.5884,418873.4917,1.0556,NEM
92,2001-01-14,155556.2832,155452.339,1.0007,NSW1
93,2001-01-14,93943.59619,101693.575,0.9238,QLD1
94,2001-01-14,28468.80553,34594.71246,0.8229,SA1
95,2001-01-14,,,,SNOWY1
96,2001-01-14,,,,TAS1
97,2001-01-14,164190.9035,127132.8653,1.2915,VIC1
98,2001-01-15,470521.0613,446982.4635,1.0527,NEM
99,2001-01-15,174582.3612,174415.2111,1.001,NSW1
100,2001-01-15,106247.8921,113853.5427,0.9332,QLD1
101,2001-01-15,28898.47675,34599.35529,0.8352,SA1
102,2001-01-15,,,,SNOWY1
103,2001-01-15,,,,TAS1
104,2001-01-15,160792.3313,124114.3544,1.2955,VIC1
105,2001-01-16,461538.9305,436054.9747,1.0584,NEM
106,2001-01-16,163216.9916,163099.2665,1.0007,NSW1
107,2001-01-16,107643.3071,115119.0123,0.9351,QLD1
108,2001-01-16,24633.50874,30165.57371,0.8166,SA1
109,2001-01-16,,,,SNOWY1
110,2001-01-16,,,,TAS1
111,2001-01-16,166045.123,127671.1221,1.3006,VIC1
112,2001-01-17,462635.1532,438511.8299,1.055,NEM
113,2001-01-17,164104.7675,164296.0708,0.9988,NSW1
114,2001-01-17,109325.8757,116858.1202,0.9355,QLD1
115,2001-01-17,23484.5856,29534.45368,0.7952,SA1
116,2001-01-17,,,,SNOWY1
117,2001-01-17,,,,TAS1
118,2001-01-17,165719.9244,127823.1852,1.2965,VIC1
119,2001-01-18,472243.7841,444784.3656,1.0617,NEM
120,2001-01-18,173137.0556,172928.537,1.0012,NSW1
121,2001-01-18,106923.6133,114119.7893,0.9369,QLD1
122,2001-01-18,24119.27152,29758.58548,0.8105,SA1
123,2001-01-18,,,,SNOWY1
124,2001-01-18,,,,TAS1
125,2001-01-18,168063.8436,127977.4538,1.3132,VIC1
126,2001-01-19,470814.7045,446550.6469,1.0543,NEM
127,2001-01-19,171137.7011,170942.49,1.0011,NSW1
128,2001-01-19,104183.8128,111416.0642,0.9351,QLD1
129,2001-01-19,29302.41057,35304.93471,0.83,SA1
130,2001-01-19,,,,SNOWY1
131,2001-01-19,,,,TAS1
132,2001-01-19,166190.7801,128887.158,1.2894,VIC1
133,2001-01-20,444121.9628,419350.6788,1.0591,NEM
134,2001-01-20,158184.8954,157804.7176,1.0024,NSW1
135,2001-01-20,95888.17733,103534.1972,0.9261,QLD1
136,2001-01-20,24920.93022,30795.21386,0.8092,SA1
137,2001-01-20,,,,SNOWY1
138,2001-01-20,,,,TAS1
139,2001-01-20,165127.9599,127216.5501,1.298,VIC1
140,2001-01-21,426702.524,400556.7601,1.0653,NEM
141,2001-01-21,149335.077,148922.2207,1.0028,NSW1
142,2001-01-21,92075.01105,99773.69494,0.9228,QLD1
143,2001-01-21,22970.37701,28554.64887,0.8044,SA1
144,2001-01-21,,,,SNOWY1
145,2001-01-21,,,,TAS1
146,2001-01-21,162322.059,123306.1956,1.3164,VIC1
147,2001-01-22,482696.7623,462889.7206,1.0428,NEM
148,2001-01-22,176996.0349,178131.7016,0.9936,NSW1
149,2001-01-22,107488.4265,115269.5654,0.9325,QLD1
150,2001-01-22,31635.17683,37675.17107,0.8397,SA1
151,2001-01-22,,,,SNOWY1
152,2001-01-22,,,,TAS1
153,2001-01-22,166577.1241,131813.2826,1.2637,VIC1
154,2001-01-23,494343.8854,477700.8644,1.0348,NEM
155,2001-01-23,187009.9436,187756.9789,0.996,NSW1
156,2001-01-23,112325.4483,120037.6981,0.9358,QLD1
157,2001-01-23,34606.51201,40817.41595,0.8478,SA1
158,2001-01-23,,,,SNOWY1
159,2001-01-23,,,,TAS1
160,2001-01-23,160401.9815,129088.7714,1.2426,VIC1
161,2001-01-24,497567.3618,481219.7454,1.034,NEM
162,2001-01-24,183343.3312,184395.9514,0.9943,NSW1
163,2001-01-24,112308.7966,120107.9964,0.9351,QLD1
164,2001-01-24,37568.00843,43982.78577,0.8542,SA1
165,2001-01-24,,,,SNOWY1
166,2001-01-24,,,,TAS1
167,2001-01-24,164347.2256,132733.0119,1.2382,VIC1
168,2001-01-25,504087.9293,482740.2529,1.0442,NEM
169,2001-01-25,179088.6943,180241.9051,0.9936,NSW1
170,2001-01-25,110578.9507,118409.4577,0.9339,QLD1
171,2001-01-25,35229.79162,41651.23678,0.8458,SA1
172,2001-01-25,,,,SNOWY1
173,2001-01-25,,,,TAS1
174,2001-01-25,179190.4927,142437.6533,1.258,VIC1
175,2001-01-26,459219.787,429914.7668,1.0682,NEM
176,2001-01-26,162377.7273,162329.3546,1.0003,NSW1
177,2001-01-26,100986.5916,108965.3761,0.9268,QLD1
178,2001-01-26,22613.19708,28134.62504,0.8037,SA1
179,2001-01-26,,,,SNOWY1
180,2001-01-26,,,,TAS1
